name	 gun01
health   0
type     item
counter  9999
subtype  weapon
weapnum  10
nolife   1
shootnum 1

anim idle
	 loop      0
	 delay     3
	 offset    13 16
	 bbox      0
	 frame     data/chars/0weap/gun1.gif
	 frame     data/chars/0weap/gun2.gif
	 frame     data/chars/0weap/gun3.gif
	 frame     data/chars/0weap/gun4.gif
	 frame     data/chars/0weap/gun1.gif
	 frame     data/chars/0weap/gun2.gif
	 frame     data/chars/0weap/gun3.gif
	 frame     data/chars/0weap/gun4.gif
	 delay     5
	 frame     data/chars/0weap/gun1.gif
	 frame     data/chars/0weap/gun2.gif
	 frame     data/chars/0weap/gun3.gif
	 frame     data/chars/0weap/gun4.gif
	 bbox      12 14 1 1
	 frame     data/chars/0weap/gun1.gif
