name	staclrd3
type	text
subtype  noskip
setlayer 9999999999
nodieblink 3
alpha   0

anim idle
	 loop      0
	 delay     2
	 health    7
	 offset    256 228
	 flipframe 0
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 frame     data/chars/0misc/empty.gif
	 delay     400
	 frame     data/chars/0misc/empty.gif
	 delay     5
	 frame     data/chars/0misc/empty.gif

